OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|AREALAND_PART|AREAWATER_PART
221704258328445|28619|ZCTA5 28619|1222440|0|G6350|B5|S|27890303214814|3717860|Drexel town|3578551|0|G4110|C1|A|1222440|0
221704258328465|28621|ZCTA5 28621|175411130|1353121|G6350|B5|S|||||||||152785728|1127391
221704258328465|28621|ZCTA5 28621|175411130|1353121|G6350|B5|S|27890332707475|3720620|Elkin town|17556058|223321|G4110|C1|A|17556058|223321
221704258328465|28621|ZCTA5 28621|175411130|1353121|G6350|B5|S|280901914487496|3752920|Pleasant Hill CDP|6694302|2409|G4210|U1|S|5069344|2409
221704258328471|28622|ZCTA5 28622|76883036|0|G6350|B5|S|||||||||75094429|0
221704258328471|28622|ZCTA5 28622|76883036|0|G6350|B5|S|27890426704848|3720700|Elk Park town|1788607|0|G4110|C1|A|1788607|0
221704258328477|28623|ZCTA5 28623|77343910|336694|G6350|B5|S|||||||||77343910|336694
221704258328481|28624|ZCTA5 28624|152012424|0|G6350|B5|S|||||||||152012424|0
221704258328508|28625|ZCTA5 28625|516304423|3378897|G6350|B5|S|||||||||486131923|3166054
221704258328508|28625|ZCTA5 28625|516304423|3378897|G6350|B5|S|27890322792848|3739420|Love Valley town|2724739|4375|G4110|C1|A|2724739|4375
221704258328508|28625|ZCTA5 28625|516304423|3378897|G6350|B5|S|27890322792850|3764740|Statesville city|64394150|286616|G4110|C1|A|27447761|208468
221704258328514|28626|ZCTA5 28626|76963893|613384|G6350|B5|S|||||||||76963893|613384
